----------------------------------------
Sheet: Sepsis Das
----------------------------------------

Pareto Metrics;;Easy;Mid;Hard
# Iterations
;SA;191;528;506
;Tabu Search;462;460;28
;PPO;3999;5216;2954
;Tabu Search Random;659;6;2
;Simulated Annealing Random;867;797;659
;PPO Random;2848;4999;3864

# Solutions
;Total Unique;23063;30335;17557
;Total Unique Random;6274;6394;4842
;Total Unique Optimos;16789;23941;12715
;SA;3447;10001;10007
;Tabu Search;10014;10011;504
;PPO;4001;5217;2955
;Tabu Random;2001;39;27
;SA Random;2632;2412;2001
;PPO Random;2849;5001;3865

# Invalid Solutions Ratio
;Total;0,02905086068594719;0,010680731827921543;0,011847126502249814
;Total Random;0,10678992668154287;0,0505161088520488;0,0429574555968608
;Total Optimos;0,0;4,176934965122593e-05;0,0
;SA;0,01943719176095155;0,016798320167983202;0,016188667932447286
;Tabu Search;0,007689235070900739;0,009989012086704625;0,015873015873015872
;PPO;0,0017495626093476631;0,003833620854897451;0,003045685279187817
;Tabu Random;0,42978510744627685;0,10256410256410256;0,037037037037037035
;SA Random;0,44832826747720367;0,4332504145936982;0,41379310344827586
;PPO Random;0,006318006318006318;0,008398320335932814;0,0038809831824062097

Pareto Size
;Reference;23;8;12
;Reference Random;19;5;12
;Reference Optimos;22;12;5
;SA;2;8;8
;Tabu Search;11;14;2
;PPO;25;10;3
;Tabu Random;9;1;1
;SA Random;15;5;12
;PPO Random;7;10;5

Hyperarea Ratio
;Reference Random;0,9986560521218965;0,997805599215661;1,0
;Reference Optimos;0,9998416928507577;0,9400834256119128;0,9513555143167747
;SA;0,6438400635220035;0,5632422057507191;0,9506465074882469
;Tabu Search;0,9980034500509393;0,8470616713496365;0,9493536112532001
;PPO;0,996278446676034;0,9303424530451506;0,9497109410833369
;Tabu Random;0,9135270927207295;0,5136497202521482;0,9474967599923476
;SA Random;0,9975632336578716;0,997805599215661;1,0
;PPO Random;0,7506858621840069;0,5902126455548549;0,9511240373080889

Hausdorff
;Reference Random;19067,890038065885;11197,121468207186;0,0
;Reference Optimos;14272,812335176004;342611,79907544225;596711,7151850751
;SA;49441,71263378973;559260,762619601;530011,8698971663
;Tabu Search;46633,58088600068;206833,7492427524;236365,07064652507
;PPO;19872,4241814365;369574,35037915496;145835,87245439406
;Tabu Random;62815,899629008636;640252,0134378695;270431,97662679706
;SA Random;18882,65485193331;11197,121468207186;0,0
;PPO Random;61185,803870132986;1385123,3879818341;146622,70680940233

Delta
;Reference Random;1,038483805584184;1,1832994687154488;0,5694646372845668
;Reference Optimos;0,8971237336312963;0,8836771631858649;0,6717762204301522
;SA;0,8766897791773192;0,910487476551661;0,8198549610039033
;Tabu Search;1,3866870795031883;0,7070788621491375;0,918504505618516
