CaseID,Activity,EnableTimestamp,StartTimestamp,EndTimestamp,Resource
Case1,Start,,2012-01-30 06:24:00+02:00,2012-01-30 06:24:00+02:00,Start
Case1,Turning & Milling,,2012-01-30 06:24:00+02:00,2012-01-30 12:43:00+02:00,ID4932
Case1,Turning & Milling,,2012-01-30 12:44:00+02:00,2012-01-30 13:42:00+02:00,ID4932
Case1,Turning & Milling,,2012-01-30 13:59:00+02:00,2012-01-30 14:21:00+02:00,ID4167
Case1,Turning & Milling,,2012-01-30 14:21:00+02:00,2012-01-30 17:58:00+02:00,ID4167
Case1,Turning & Milling Q.C.,,2012-01-31 20:20:00+02:00,2012-01-31 21:50:00+02:00,ID4163
Case1,Laser Marking,,2012-02-01 15:18:00+02:00,2012-02-01 15:27:00+02:00,ID0998
Case1,Lapping,,2012-02-14 07:00:00+02:00,2012-02-14 08:15:00+02:00,ID4882
Case1,Lapping,,2012-02-14 16:05:00+02:00,2012-02-14 16:38:00+02:00,ID4882
Case1,Round Grinding,,2012-02-14 16:13:00+02:00,2012-02-14 20:37:00+02:00,ID4445
Case1,Round Grinding,,2012-02-14 20:37:00+02:00,2012-02-14 22:27:00+02:00,ID4445
Case1,Final Inspection Q.C.,,2012-02-16 13:59:00+02:00,2012-02-16 14:59:00+02:00,ID4493
Case1,Final Inspection Q.C.,,2012-02-16 19:43:00+02:00,2012-02-16 20:58:00+02:00,ID4493
Case1,Packing,,2012-02-17 07:00:00+02:00,2012-02-17 08:00:00+02:00,ID4820
Case1,End,,2012-02-17 08:00:00+02:00,2012-02-17 08:00:00+02:00,End
Case10,Start,,2012-01-17 14:01:00+02:00,2012-01-17 14:01:00+02:00,Start
Case10,Turning & Milling,,2012-01-17 14:01:00+02:00,2012-01-17 18:05:00+02:00,ID3846
Case10,Turning Q.C.,,2012-01-17 18:00:00+02:00,2012-01-17 18:15:00+02:00,ID4618
Case10,Turning & Milling,,2012-01-18 02:24:00+02:00,2012-01-18 03:01:00+02:00,ID4132
Case10,Turning & Milling,,2012-01-18 03:01:00+02:00,2012-01-18 06:43:00+02:00,ID4132
Case10,Turning & Milling,,2012-01-18 06:49:00+02:00,2012-01-18 13:32:00+02:00,ID4794
Case10,Turning & Milling,,2012-01-18 13:59:00+02:00,2012-01-18 14:24:00+02:00,ID3846
Case10,Turning & Milling,,2012-01-18 23:33:00+02:00,2012-01-19 00:55:00+02:00,ID4132
Case10,Turning & Milling,,2012-01-19 00:57:00+02:00,2012-01-19 03:04:00+02:00,ID4132
Case10,Turning & Milling,,2012-01-19 03:10:00+02:00,2012-01-19 13:29:00+02:00,ID4794
Case10,Turning & Milling,,2012-01-19 23:12:00+02:00,2012-01-20 01:09:00+02:00,ID4132
Case10,Turning & Milling,,2012-01-20 01:10:00+02:00,2012-01-20 03:08:00+02:00,ID4132
Case10,Turning & Milling,,2012-01-20 03:09:00+02:00,2012-01-20 12:10:00+02:00,ID4794
Case10,Turning & Milling,,2012-01-22 09:42:00+02:00,2012-01-22 13:34:00+02:00,ID4641
Case10,Turning & Milling,,2012-01-22 14:00:00+02:00,2012-01-22 14:13:00+02:00,ID3846
Case10,Turning & Milling,,2012-01-22 16:02:00+02:00,2012-01-23 00:47:00+02:00,ID3846
Case10,Turning Q.C.,,2012-01-23 14:54:00+02:00,2012-01-23 17:26:00+02:00,ID4618
Case10,Laser Marking,,2012-01-25 16:31:00+02:00,2012-01-25 17:57:00+02:00,ID4794
Case10,Laser Marking,,2012-01-25 18:00:00+02:00,2012-01-25 19:54:00+02:00,ID4882
Case10,Laser Marking,,2012-01-25 20:22:00+02:00,2012-01-25 21:09:00+02:00,ID4882
Case10,Flat Grinding,,2012-01-27 17:30:00+02:00,2012-01-27 20:00:00+02:00,ID0998
Case10,Flat Grinding,,2012-01-29 15:09:00+02:00,2012-01-29 22:06:00+02:00,ID0998
Case10,Flat Grinding,,2012-01-30 22:19:00+02:00,2012-01-30 23:59:00+02:00,ID0998
Case10,Final Inspection Q.C.,,2012-02-02 19:38:00+02:00,2012-02-02 21:16:00+02:00,ID4618
Case10,Packing,,2012-02-03 07:00:00+02:00,2012-02-03 08:00:00+02:00,ID4820
Case10,End,,2012-02-03 08:00:00+02:00,2012-02-03 08:00:00+02:00,End
Case100,Start,,2012-02-21 00:09:00+02:00,2012-02-21 00:09:00+02:00,Start
Case100,Turning & Milling,,2012-02-21 00:09:00+02:00,2012-02-21 00:57:00+02:00,ID4219
Case100,Turning & Milling,,2012-02-21 05:57:00+02:00,2012-02-21 09:57:00+02:00,ID4529
Case100,Turning & Milling,,2012-02-21 13:45:00+02:00,2012-02-21 18:03:00+02:00,ID4219
Case100,Turning & Milling,,2012-02-21 18:04:00+02:00,2012-02-21 19:08:00+02:00,ID4219
Case100,Turning & Milling Q.C.,,2012-02-22 21:48:00+02:00,2012-02-22 22:10:00+02:00,ID4618
Case100,Laser Marking,,2012-03-11 18:05:00+02:00,2012-03-11 18:06:00+02:00,ID0998
Case100,Flat Grinding,,2012-03-11 19:23:00+02:00,2012-03-11 19:45:00+02:00,ID0998
Case100,Lapping,,2012-03-11 19:46:00+02:00,2012-03-11 20:18:00+02:00,ID4882
Case100,Round Grinding,,2012-03-13 17:34:00+02:00,2012-03-13 17:41:00+02:00,ID4445
Case100,Round Grinding,,2012-03-13 17:41:00+02:00,2012-03-13 22:12:00+02:00,ID4445
Case100,Grinding Rework,,2012-03-16 18:30:00+02:00,2012-03-16 19:40:00+02:00,ID4872
Case100,Final Inspection Q.C.,,2012-03-19 18:21:00+02:00,2012-03-19 21:06:00+02:00,ID4618
Case100,Packing,,2012-03-21 07:00:00+02:00,2012-03-21 08:00:00+02:00,ID4820
Case100,Final Inspection Q.C.,,2012-03-21 14:02:00+02:00,2012-03-21 14:03:00+02:00,ID4618
Case100,End,,2012-03-21 14:03:00+02:00,2012-03-21 14:03:00+02:00,End
Case101,Start,,2012-03-14 01:47:00+02:00,2012-03-14 01:47:00+02:00,Start
Case101,Setup,,2012-03-14 01:47:00+02:00,2012-03-14 03:03:00+02:00,ID4219
Case101,Turning & Milling,,2012-03-14 03:38:00+02:00,2012-03-14 06:03:00+02:00,ID4219
Case101,Turning & Milling,,2012-03-14 06:04:00+02:00,2012-03-14 06:49:00+02:00,ID4219
Case101,Turning & Milling,,2012-03-14 06:50:00+02:00,2012-03-14 08:06:00+02:00,ID4219
Case101,Turning & Milling,,2012-03-14 08:06:00+02:00,2012-03-14 13:28:00+02:00,ID4794
Case101,Turning & Milling,,2012-03-14 14:02:00+02:00,2012-03-14 14:48:00+02:00,ID0997
Case101,Turning & Milling,,2012-03-14 14:49:00+02:00,2012-03-14 18:10:00+02:00,ID0997
Case101,Turning & Milling,,2012-03-14 18:11:00+02:00,2012-03-14 20:30:00+02:00,ID0997
Case101,Turning & Milling Q.C.,,2012-03-14 20:33:00+02:00,2012-03-14 21:48:00+02:00,ID4618
Case101,Flat Grinding,,2012-03-15 16:55:00+02:00,2012-03-15 17:55:00+02:00,ID0998
Case101,Lapping,,2012-03-23 18:00:00+02:00,2012-03-23 19:40:00+02:00,ID0998
Case101,Round Grinding,,2012-03-25 06:15:00+03:00,2012-03-25 07:45:00+03:00,ID4528
Case101,Round Grinding,,2012-03-25 07:45:00+03:00,2012-03-25 14:45:00+03:00,ID4528
Case101,Lapping,,2012-03-25 18:00:00+03:00,2012-03-25 19:00:00+03:00,ID0998
Case101,Laser Marking,,2012-03-25 19:15:00+03:00,2012-03-25 19:29:00+03:00,ID0998
Case101,Final Inspection Q.C.,,2012-03-25 14:50:00+03:00,2012-03-25 19:31:00+03:00,ID4618
Case101,Packing,,2012-03-26 08:00:00+03:00,2012-03-26 09:00:00+03:00,ID4820
Case101,End,,2012-03-26 09:00:00+03:00,2012-03-26 09:00:00+03:00,End
Case102,Start,,2012-02-27 23:40:00+02:00,2012-02-27 23:40:00+02:00,Start
Case102,Turning & Milling,,2012-02-27 23:40:00+02:00,2012-02-28 04:09:00+02:00,ID4219
Case102,Turning & Milling,,2012-02-28 04:46:00+02:00,2012-02-28 08:23:00+02:00,ID4219
Case102,Turning & Milling,,2012-02-28 18:00:00+02:00,2012-02-28 20:26:00+02:00,ID0997
Case102,Turning & Milling Q.C.,,2012-02-28 21:35:00+02:00,2012-02-28 22:25:00+02:00,ID4287
Case102,Turning & Milling,,2012-02-28 21:20:00+02:00,2012-02-28 23:12:00+02:00,ID0997
Case102,Turning & Milling,,2012-02-28 23:12:00+02:00,2012-02-29 00:56:00+02:00,ID0997
Case102,Turning & Milling,,2012-02-29 04:28:00+02:00,2012-02-29 08:29:00+02:00,ID4219
Case102,Turning & Milling,,2012-02-29 08:30:00+02:00,2012-02-29 11:31:00+02:00,ID4794
Case102,Turning & Milling,,2012-02-29 14:32:00+02:00,2012-02-29 18:05:00+02:00,ID0997
Case102,Turning & Milling,,2012-02-29 18:05:00+02:00,2012-02-29 23:00:00+02:00,ID0997
Case102,Turning & Milling Q.C.,,2012-02-29 22:00:00+02:00,2012-02-29 23:00:00+02:00,ID4287
Case102,Turning & Milling Q.C.,,2012-02-29 23:04:00+02:00,2012-02-29 23:36:00+02:00,ID4287
Case102,Turning & Milling,,2012-03-01 00:19:00+02:00,2012-03-01 00:20:00+02:00,ID0997
Case102,Turning & Milling,,2012-03-01 05:27:00+02:00,2012-03-01 07:11:00+02:00,ID4219
Case102,Turning & Milling Q.C.,,2012-03-01 16:30:00+02:00,2012-03-01 17:49:00+02:00,ID4287
Case102,Turning & Milling Q.C.,,2012-03-06 07:00:00+02:00,2012-03-06 08:15:00+02:00,ID4287
Case102,Laser Marking,,2012-03-08 20:32:00+02:00,2012-03-08 21:41:00+02:00,ID0998
Case102,Lapping,,2012-03-09 07:00:00+02:00,2012-03-09 08:15:00+02:00,ID4882
Case102,Lapping,,2012-03-11 16:38:00+02:00,2012-03-11 18:04:00+02:00,ID0998
Case102,Round Grinding,,2012-03-12 02:25:00+02:00,2012-03-12 03:00:00+02:00,ID4528
Case102,Round Grinding,,2012-03-12 03:00:00+02:00,2012-03-12 06:40:00+02:00,ID4528
Case102,Round Grinding,,2012-03-12 15:02:00+02:00,2012-03-12 15:04:00+02:00,ID4445
Case102,Round Grinding,,2012-03-12 17:00:00+02:00,2012-03-12 17:57:00+02:00,ID4287
Case102,Final Inspection Q.C.,,2012-03-12 21:00:00+02:00,2012-03-13 00:00:00+02:00,ID4287
Case102,Final Inspection Q.C.,,2012-03-13 15:00:00+02:00,2012-03-13 15:06:00+02:00,ID4287
Case102,Packing,,2012-03-14 07:00:00+02:00,2012-03-14 08:00:00+02:00,ID4820
Case102,End,,2012-03-14 08:00:00+02:00,2012-03-14 08:00:00+02:00,End
Case103,Start,,2012-03-06 16:10:00+02:00,2012-03-06 16:10:00+02:00,Start
Case103,Turning & Milling,,2012-03-06 16:10:00+02:00,2012-03-06 17:18:00+02:00,ID4219
Case103,Turning & Milling,,2012-03-08 11:19:00+02:00,2012-03-08 13:51:00+02:00,ID0997
Case103,Turning & Milling,,2012-03-08 17:04:00+02:00,2012-03-08 23:38:00+02:00,ID4219
Case103,Turning & Milling,,2012-03-09 03:24:00+02:00,2012-03-09 11:35:00+02:00,ID0997
Case103,Turning & Milling,,2012-03-09 11:35:00+02:00,2012-03-09 14:27:00+02:00,ID0997
Case103,Turning & Milling,,2012-03-09 14:32:00+02:00,2012-03-09 17:27:00+02:00,ID4219
Case103,Turning & Milling Q.C.,,2012-03-09 14:32:00+02:00,2012-03-09 17:38:00+02:00,ID4618
Case103,Turning & Milling Q.C.,,2012-03-11 14:42:00+02:00,2012-03-11 15:16:00+02:00,ID4618
Case103,Turning & Milling,,2012-03-11 16:03:00+02:00,2012-03-11 17:37:00+02:00,ID0997
Case103,Turning & Milling,,2012-03-11 17:37:00+02:00,2012-03-11 18:48:00+02:00,ID0997
Case103,Turning & Milling,,2012-03-11 18:49:00+02:00,2012-03-11 23:09:00+02:00,ID0997
Case103,Turning & Milling,,2012-03-11 23:35:00+02:00,2012-03-12 01:35:00+02:00,ID4219
Case103,Turning & Milling Q.C.,,2012-03-12 15:27:00+02:00,2012-03-12 15:28:00+02:00,ID4618
Case103,Laser Marking,,2012-03-13 16:54:00+02:00,2012-03-13 17:46:00+02:00,ID4355
Case103,Flat Grinding,,2012-03-13 20:27:00+02:00,2012-03-13 21:04:00+02:00,ID0998
Case103,Final Inspection Q.C.,,2012-03-13 21:07:00+02:00,2012-03-14 00:57:00+02:00,ID4618
Case103,Final Inspection Q.C.,,2012-03-14 13:58:00+02:00,2012-03-14 17:35:00+02:00,ID4618
Case103,Final Inspection Q.C.,,2012-03-14 19:03:00+02:00,2012-03-14 19:04:00+02:00,ID4618
Case103,Packing,,2012-03-15 07:00:00+02:00,2012-03-15 08:00:00+02:00,ID4820
Case103,End,,2012-03-15 08:00:00+02:00,2012-03-15 08:00:00+02:00,End
Case104,Start,,2012-03-20 03:43:00+02:00,2012-03-20 03:43:00+02:00,Start
Case104,Turning & Milling,,2012-03-20 03:43:00+02:00,2012-03-20 09:26:00+02:00,ID4529
Case104,Turning & Milling,,2012-03-20 09:27:00+02:00,2012-03-20 13:41:00+02:00,ID4529
Case104,Turning & Milling,,2012-03-20 14:00:00+02:00,2012-03-20 18:07:00+02:00,ID4429
Case104,Turning & Milling Q.C.,,2012-03-20 16:54:00+02:00,2012-03-20 18:54:00+02:00,ID4493
Case104,Turning & Milling Q.C.,,2012-03-21 13:55:00+02:00,2012-03-21 14:41:00+02:00,ID4493
Case104,Laser Marking,,2012-03-21 16:21:00+02:00,2012-03-21 16:49:00+02:00,ID4718
Case104,End,,2012-03-21 16:49:00+02:00,2012-03-21 16:49:00+02:00,End
Case105,Start,,2012-03-21 06:18:00+02:00,2012-03-21 06:18:00+02:00,Start
Case105,Turning & Milling,,2012-03-21 06:18:00+02:00,2012-03-21 13:34:00+02:00,ID4167
Case105,Turning & Milling,,2012-03-21 14:18:00+02:00,2012-03-21 17:31:00+02:00,ID4932
Case105,End,,2012-03-21 17:31:00+02:00,2012-03-21 17:31:00+02:00,End
Case106,Start,,2012-03-15 17:14:00+02:00,2012-03-15 17:14:00+02:00,Start
Case106,Turning & Milling,,2012-03-15 17:14:00+02:00,2012-03-15 22:44:00+02:00,ID0997
Case106,Turning & Milling,,2012-03-15 23:55:00+02:00,2012-03-16 03:38:00+02:00,ID4219
Case106,Turning & Milling Q.C.,,2012-03-19 14:00:00+02:00,2012-03-19 14:28:00+02:00,ID4618
Case106,Laser Marking,,2012-03-19 16:38:00+02:00,2012-03-19 17:51:00+02:00,ID0998
Case106,Flat Grinding,,2012-03-19 21:42:00+02:00,2012-03-19 22:20:00+02:00,ID4882
Case106,Final Inspection Q.C.,,2012-03-21 22:27:00+02:00,2012-03-22 00:57:00+02:00,ID4618
Case106,Packing,,2012-03-22 07:00:00+02:00,2012-03-22 08:00:00+02:00,ID4820
Case106,Final Inspection Q.C.,,2012-03-22 18:50:00+02:00,2012-03-22 20:05:00+02:00,ID4618
Case106,End,,2012-03-22 20:05:00+02:00,2012-03-22 20:05:00+02:00,End
Case107,Start,,2012-03-30 14:36:00+03:00,2012-03-30 14:36:00+03:00,Start
Case107,Turning & Milling,,2012-03-30 14:36:00+03:00,2012-03-30 19:47:00+03:00,ID4132
Case107,End,,2012-03-30 19:47:00+03:00,2012-03-30 19:47:00+03:00,End
Case108,Start,,2012-02-27 08:18:00+02:00,2012-02-27 08:18:00+02:00,Start
Case108,Turning & Milling,,2012-02-27 08:18:00+02:00,2012-02-27 13:55:00+02:00,ID4794
Case108,Turning & Milling Q.C.,,2012-02-27 14:00:00+02:00,2012-02-27 15:40:00+02:00,ID4287
Case108,Turning & Milling,,2012-02-27 13:59:00+02:00,2012-02-27 16:13:00+02:00,ID4529
Case108,Turning & Milling,,2012-02-27 16:13:00+02:00,2012-02-27 19:38:00+02:00,ID4529
Case108,Turning & Milling Q.C.,,2012-02-28 20:20:00+02:00,2012-02-28 21:24:00+02:00,ID4287
Case108,Laser Marking,,2012-02-29 00:52:00+02:00,2012-02-29 02:07:00+02:00,ID0998
